input-device,description,type,bank,channel,control,=>,output-device,description,channel,control
XTouch Mini,Wheel1,CC,1,11,1,=>,Circuit,synth1 volume,16,12
XTouch Mini,Wheel2,CC,1,11,2,=>,Circuit,synth2 volume,16,14
XTouch Mini,Wheel3,CC,1,11,3,=>,Circuit,synth1 send level,16,111
XTouch Mini,Wheel4,CC,1,11,4,=>,Circuit,synth2 send level,16,112
XTouch Mini,Wheel5,CC,1,11,5,=>,Circuit,delay feedback,16,1:8
XTouch Mini,Wheel6,CC,1,11,6,=>,Circuit,delay width,16,1:9
XTouch Mini,Wheel7,CC,1,11,7,=>,Circuit,left-right ratio,16,1:10
XTouch Mini,Wheel8,CC,1,11,8,=>,Circuit,slew rate,16,1:11
XTouch Mini,Wheel1,CC,2,11,1,=>,Circuit,synth1 osc 1 level,1,51
XTouch Mini,Wheel2,CC,2,11,2,=>,Circuit,synth1 osc 2 level,1,52
XTouch Mini,Wheel3,CC,2,11,3,=>,Circuit,synth1 ring mod level,1,54
XTouch Mini,Wheel4,CC,2,11,4,=>,Circuit,synth1 noise level,1,56
XTouch Mini,Wheel5,CC,2,11,5,=>,Circuit,synth1 env 1 attack,1,73
XTouch Mini,Wheel6,CC,2,11,6,=>,Circuit,synth1 env 1 decay,1,75
XTouch Mini,Wheel7,CC,2,11,7,=>,Circuit,synth1 env 1 sustain,1,70
XTouch Mini,Wheel8,CC,2,11,8,=>,Circuit,synth1 env 1 release,1,72
XTouch Mini,Wheel1,CC,3,11,1,=>,Circuit,synth2 osc 1 level,2,51
XTouch Mini,Wheel2,CC,3,11,2,=>,Circuit,synth2 osc 2 level,2,52
XTouch Mini,Wheel3,CC,3,11,3,=>,Circuit,synth2 ring mod level,2,54
XTouch Mini,Wheel4,CC,3,11,4,=>,Circuit,synth2 noise level,2,56
XTouch Mini,Wheel5,CC,3,11,5,=>,Circuit,synth2 env 1 attack,2,73
XTouch Mini,Wheel6,CC,3,11,6,=>,Circuit,synth2 env 1 decay,2,75
XTouch Mini,Wheel7,CC,3,11,7,=>,Circuit,synth2 env 1 sustain,2,70
XTouch Mini,Wheel8,CC,3,11,8,=>,Circuit,synth2 env 1 release,2,72
XTouch Mini,Button B1,ON,1,11,16,=>,Circuit,Session Select 1,16,0
XTouch Mini,Button B2,ON,1,11,17,=>,Circuit,Session Select 2,16,1
XTouch Mini,Button B3,ON,1,11,18,=>,Circuit,Session Select 3,16,2
XTouch Mini,Button B4,ON,1,11,19,=>,Circuit,Session Select 4,16,3
XTouch Mini,Button B5,ON,1,11,20,=>,Circuit,Session Select 5,16,4
XTouch Mini,Button B6,ON,1,11,21,=>,Circuit,Session Select 6,16,5
XTouch Mini,Button B7,ON,1,11,22,=>,Circuit,Session Select 7,16,6
XTouch Mini,Button B8,ON,1,11,23,=>,Circuit,Session Select 8,16,7
