input-device,description,type,bank,channel,control,=>,output-device,description,channel,control
XTouch Mini,Button T1,OFF,0,11,8,=>,Bank,Change bank 1,1,1
XTouch Mini,Button T2,OFF,0,11,9,=>,Bank,Change bank 2,2,2
XTouch Mini,Button T3,OFF,0,11,10,=>,Bank,Change bank 3,3,3
XTouch Mini,Button T4,OFF,0,11,11,=>,Bank,Change bank 4,4,4
XTouch Mini,Button T5,OFF,0,11,12,=>,Bank,Change bank 5,5,5
XTouch Mini,Button T6,OFF,0,11,13,=>,Bank,Change bank 6,6,6
XTouch Mini,Button T7,OFF,0,11,14,=>,Bank,Change bank 7,7,7
XTouch Mini,Button T8,OFF,0,11,15,=>,Bank,Change bank 8,8,8
XTouch Mini,Button T1,ON,0,11,8,=>,Bank,Change bank 1,1,1
XTouch Mini,Button T2,ON,0,11,9,=>,Bank,Change bank 2,2,2
XTouch Mini,Button T3,ON,0,11,10,=>,Bank,Change bank 3,3,3
XTouch Mini,Button T4,ON,0,11,11,=>,Bank,Change bank 4,4,4
XTouch Mini,Button T5,ON,0,11,12,=>,Bank,Change bank 5,5,5
XTouch Mini,Button T6,ON,0,11,13,=>,Bank,Change bank 6,6,6
XTouch Mini,Button T7,ON,0,11,14,=>,Bank,Change bank 7,7,7
XTouch Mini,Button T8,ON,0,11,15,=>,Bank,Change bank 8,8,8
XTouch Mini,Wheel1,CC,1,11,1,=>,Circuit,synth1 volume,16,12
XTouch Mini,Wheel2,CC,1,11,2,=>,Circuit,synth2 volume,16,14
XTouch Mini,Wheel3,CC,1,11,3,=>,Circuit,synth1 send level,16,111
XTouch Mini,Wheel4,CC,1,11,4,=>,Circuit,synth2 send level,16,112
XTouch Mini,Wheel5,CC,1,11,5,=>,Circuit,delay feedback,16,1:8
XTouch Mini,Wheel6,CC,1,11,6,=>,Circuit,delay width,16,1:9
XTouch Mini,Wheel7,CC,1,11,7,=>,Circuit,left-right ratio,16,1:10
XTouch Mini,Wheel8,CC,1,11,8,=>,Circuit,slew rate,16,1:11
XTouch Mini,Wheel1,CC,2,11,1,=>,Circuit,synth1 osc 1 level,1,51
XTouch Mini,Wheel2,CC,2,11,2,=>,Circuit,synth1 osc 2 level,1,52
XTouch Mini,Wheel3,CC,2,11,3,=>,Circuit,synth1 ring mod level,1,54
XTouch Mini,Wheel4,CC,2,11,4,=>,Circuit,synth1 noise level,1,56
XTouch Mini,Wheel5,CC,2,11,5,=>,Circuit,synth1 env 1 attack,1,73
XTouch Mini,Wheel6,CC,2,11,6,=>,Circuit,synth1 env 1 decay,1,75
XTouch Mini,Wheel7,CC,2,11,7,=>,Circuit,synth1 env 1 sustain,1,70
XTouch Mini,Wheel8,CC,2,11,8,=>,Circuit,synth1 env 1 release,1,72
XTouch Mini,Wheel1,CC,3,11,1,=>,Circuit,synth2 osc 1 level,2,51
XTouch Mini,Wheel2,CC,3,11,2,=>,Circuit,synth2 osc 2 level,2,52
XTouch Mini,Wheel3,CC,3,11,3,=>,Circuit,synth2 ring mod level,2,54
XTouch Mini,Wheel4,CC,3,11,4,=>,Circuit,synth2 noise level,2,56
XTouch Mini,Wheel5,CC,3,11,5,=>,Circuit,synth2 env 1 attack,2,73
XTouch Mini,Wheel6,CC,3,11,6,=>,Circuit,synth2 env 1 decay,2,75
XTouch Mini,Wheel7,CC,3,11,7,=>,Circuit,synth2 env 1 sustain,2,70
XTouch Mini,Wheel8,CC,3,11,8,=>,Circuit,synth2 env 1 release,2,72
FaderFox,Fader1,CC,0,3,32,=>,Circuit,synth1 volume,16,12
FaderFox,Fader2,CC,0,3,33,=>,Circuit,synth2 volume,16,14
FaderFox,Fader3,CC,0,3,34,=>,Circuit,drum 1 level,10,12
FaderFox,Fader4,CC,0,3,35,=>,Circuit,drum 2 level,10,23
FaderFox,Fader5,CC,0,3,36,=>,Circuit,drum 3 level,10,45
FaderFox,Fader6,CC,0,3,37,=>,Circuit,drum 4 level,10,53
FaderFox,Fader7,CC,0,3,38,=>,Circuit,Master Filter frequency,16,74
FaderFox,Fader8,CC,0,3,39,=>,Circuit,Master Filter resonance,16,71
